"id","name","short_name","country","state"
83,USF Health Morsani College of Medicine,,United States of America,FL
84,Emory University School of Medicine,,United States of America,GA
85,Medical College of Georgia at Augusta University,,United States of America,GA
86,Mercer University School of Medicine,,United States of America,GA
87,Morehouse School of Medicine,,United States of America,GA
88,University of Hawaii John A. Burns School of Medicine,,United States of America,HI
89,University of Iowa Roy J. and Lucille A. Carver College of Medicine,,United States of America,IA
90,Carle Illinois College of Medicine,,United States of America,IL
91,Chicago Medical School at Rosalind Franklin University of Medicine & Science,,United States of America,IL
92,Loyola University Chicago Stritch School of Medicine,,United States of America,IL
93,Northwestern University The Feinberg School of Medicine,,United States of America,IL
94,Rush Medical College of Rush University Medical Center,,United States of America,IL
95,Southern Illinois University School of Medicine,,United States of America,IL
96,University of Chicago Division of the Biological Sciences The Pritzker School of Medicine,,United States of America,IL
97,University of Illinois College of Medicine,,United States of America,IL
98,Indiana University School of Medicine,,United States of America,IN
99,"Government Medical College, Konni",,India,Kerala
100,"Government Medical College, Kottayam",,India,Kerala
101,"Government Medical College, Kozhikode",,India,Kerala
102,"Government Medical College, Malappuram",,India,Kerala
103,"Government Medical College, Palakkad",,India,Kerala
104,"Government Medical College, Thiruvananthapuram",,India,Kerala
105,"Government Medical College, Thrissur",,India,Kerala
106,"Government T D Medical College, Alappuzha",,India,Kerala
107,"Jubilee Mission Medical College and Research Institute, Thrissur",,India,Kerala
108,"Kannur Medical College, Kannur",,India,Kerala
109,"Karuna Medical College, Palakkad",,India,Kerala
110,"Kerala Medical College, Palakkad",,India,Kerala
111,"KMCT Medical College, Mukkam, Kozhikode",,India,Kerala
112,"Malabar Medical College, Kozhikode",,India,Kerala
113,"Malankara Orthodox Syrian Church Medical Mission Hospital, Ernakulam",,India,Kerala
114,MES Academy of Medical Sciencesm Malappuram,,India,Kerala
115,"Mount Zion Medical College, Pathanamthitta",,India,Kerala
116,"PK Das Institute of Medical Sciences, Palakkad",,India,Kerala
117,"Pushpagiri Medical College, Thiruvalla",,India,Kerala
118,"SR Medical College Hospital, Varkala",,India,Kerala
119,"Sree Gokulam Medical College & Research Foundation, Thiruvananthapuram",,India,Kerala
120,"Sree Narayana Institute of Medical Sciences, Ernakulam",,India,Kerala
121,"SUT Medical College, Thiruvananthapuram",,India,Kerala
122,"Travancore Medical College Hospital, Kollam",,India,Kerala
123,University of Kansas School of Medicine,,United States of America,KS
124,University of Kentucky College of Medicine,,United States of America,KY
125,University of Louisville School of Medicine,,United States of America,KY
126,Louisiana State University School of Medicine in New Orleans,,United States of America,LA
127,Louisiana State University School of Medicine in Shreveport,,United States of America,LA
128,Tulane University School of Medicine,,United States of America,LA
129,Boston University School of Medicine,,United States of America,MA
130,Harvard Medical School,,United States of America,MA
131,Tufts University School of Medicine,,United States of America,MA
132,University of Massachusetts T.H. Chan School of Medicine,,United States of America,MA
133,"All India Institute of Medical Science, Bhopal (AIIMS-Bhopal)",,India,Madhya Pradesh
134,"Gajara Raja Medical College, Gwalior",,India,Madhya Pradesh
135,"Gandhi Medical College, Bhopal",,India,Madhya Pradesh
136,"Mahatma Gandhi Memorial Medical College, Indore",,India,Madhya Pradesh
137,"Netaji Subhash Chandra Bose Medical College, Jabalpur",,India,Madhya Pradesh
138,"People's Medical College, Bhopal",,India,Madhya Pradesh
139,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",,India,Madhya Pradesh
140,"Shyam Shah Medical College, Rewa",,India,Madhya Pradesh
141,ACPM Medical College,,India,Maharashtra
142,"All India Institute of Medical Sciences, Nagpur",,India,Maharashtra
143,"Armed Forces Medical College, Pune",,India,Maharashtra
144,"Ashwini Medical College Hospital, Solapur",,India,Maharashtra
145,"B. J. Medical College, Pune",,India,Maharashtra
146,"Bharati Vidyapeeth Deemed University Medical College and Hospital, Pune",,India,Maharashtra
147,"Bharati Vidyapeeth Deemed University Medical College and Hospital, Sangli",,India,Maharashtra
148,"Dr. D. Y. Patil Medical College, Hospital & Research Centre, Kohlapur",,India,Maharashtra
149,Dr. Panjabrao Deshmukh Memorial Medical College,,India,Maharashtra
150,"Dr. Shankarrao Chavan Government Medical College, Nanded",,India,Maharashtra
151,Dr. V. M. Government Medical College,,India,Maharashtra
152,"Government Medical College & General Hospital, Baramati",,India,Maharashtra
153,"Government Medical College, Akola",,India,Maharashtra
154,"Government Medical College, Aurangabad",,India,Maharashtra
155,"Government Medical College, Chandrapur",,India,Maharashtra
156,"Government Medical College, Gondia",,India,Maharashtra
157,"Government Medical College, Jalgaon",,India,Maharashtra
158,"Government Medical College, Latur",,India,Maharashtra
159,"Government Medical College, Miraj",,India,Maharashtra
160,"Government Medical College, Nagpur",,India,Maharashtra
161,"Grant Medical College, Byculla, Mumbai",,India,Maharashtra
162,"Hinduhridaysamrat Balasaheb Thackeray Medical College and Dr. R. N. Cooper Municipal General Hospital, Juhu, Mumbai",,India,Maharashtra
163,"Indira Gandhi Government Medical College, Nagpur",,India,Maharashtra
164,"K. J. Somaiya Medical College & Research Centre, Mumbai",,India,Maharashtra
165,"King Edward Memorial Hospital and Seth Gordhandas Sunderdas Medical College, Parel, Mumbai",,India,Maharashtra
166,"Lokmanya Tilak Municipal General Hospital, Sion, Mumbai",,India,Maharashtra
167,"Maharashtra Institute of Medical Education and Research (MIMER), Talegaon, Pune",,India,Maharashtra
168,"Maharashtra Institute of Medical Science and Research, Latur",,India,Maharashtra
169,"Mahatma Gandhi Institute of Medical Sciences, Wardha",,India,Maharashtra
170,"R.C.S.M. Govt Medical College and CPR Hospital, Kolhapur",,India,Maharashtra
171,"Rajiv Gandhi Medical College, Kalwa, Thane",,India,Maharashtra
172,"Shri Bhausaheb Hire Government Medical College, Dhule",,India,Maharashtra
173,"Shri Vasantrao Naik Government Medical College, Yavatmal",,India,Maharashtra
174,"Swami Ramanand Teerth Rural Medical College, Ambajogai",,India,Maharashtra
175,"Terna Medical College, Navi Mumbai",,India,Maharashtra
176,"Topiwala National Medical College and B.Y.L. Nair Charitable Hospital, Mumbai",,India,Maharashtra
177,Jawaharlal Nehru Institute of Medical Sciences,,India,Manipur
178,Regional Institute of Medical Sciences,,India,Manipur
179,University of Manitoba Max Rady College of Medicine,,Canada,Manitoba
180,Johns Hopkins University School of Medicine,,United States of America,MD
181,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,,United States of America,MD
182,University of Maryland School of Medicine,,United States of America,MD
183,North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences,,India,Meghalaya
184,Central Michigan University College of Medicine,,United States of America,MI
185,Michigan State University College of Human Medicine,,United States of America,MI
186,Oakland University William Beaumont School of Medicine,,United States of America,MI
187,University of Michigan Medical School,,United States of America,MI
188,Wayne State University School of Medicine,,United States of America,MI
189,Western Michigan University Homer Stryker M.D. School of Medicine,,United States of America,MI
190,Zoram Medical College,,India,Mizoram
191,Mayo Clinic Alix School of Medicine,,United States of America,MN
192,University of Minnesota Medical School,,United States of America,MN
193,Saint Louis University School of Medicine,,United States of America,MO
194,University of Missouri-Columbia School of Medicine,,United States of America,MO
195,University of Missouri-Kansas City School of Medicine,,United States of America,MO
196,Washington University in St. Louis School of Medicine,,United States of America,MO
197,University of Mississippi School of Medicine,,United States of America,MS
198,Mon Medical College,,India,Nagaland
199,Nagaland Medical College,,India,Nagaland
200,Brody School of Medicine at East Carolina University,,United States of America,NC
201,Duke University School of Medicine,,United States of America,NC
202,University of North Carolina at Chapel Hill School of Medicine,,United States of America,NC
203,Wake Forest School of Medicine of Wake Forest Baptist Medical Center,,United States of America,NC
204,University of North Dakota School of Medicine and Health Sciences,,United States of America,ND
205,Creighton University School of Medicine,,United States of America,NE
206,University of Nebraska College of Medicine,,United States of America,NE
207,All India Institute of Medical Sciences,,India,New Delhi
208,Army College of Medical Sciences,,India,New Delhi
209,Atal Bihari Vajpayee Institute of Medical Sciences,,India,New Delhi
210,Lady Hardinge Medical College,,India,New Delhi
211,Maulana Azad Medical College,,India,New Delhi
212,University College of Medical Sciences,,India,New Delhi
213,Vardhman Mahavir Medical College,,India,New Delhi
214,Sydney Medical School,,Australia,New South Wales
215,Western Sydney University,,Australia,New South Wales
216,"University of Notre Dame School of Medicine, Sydney",,Australia,New South Wales
217,Macquarie University School of Medicine,,Australia,New South Wales
218,Memorial University of Newfoundland Faculty of Medicine,,Canada,Newfoundland and Labrador
219,Geisel School of Medicine at Dartmouth,,United States of America,NH
220,Cooper Medical School of Rowan University,,United States of America,NJ
221,Hackensack Meridian School of Medicine,,United States of America,NJ
222,Rutgers New Jersey Medical School,,United States of America,NJ
223,Rutgers Robert Wood Johnson Medical School,,United States of America,NJ
224,University of New Mexico School of Medicine,,United States of America,NM
225,Dalhousie University Faculty of Medicine,Dalhousie,Canada,Nova Scotia
226,Kirk Kerkorian School of Medicine at UNLV,,United States of America,NV
227,"University of Nevada, Reno School of Medicine",,United States of America,NV
228,Albany Medical College,,United States of America,NY
229,Vinnytsia National Pirogov Medical University,,Ukraine,Vinnytsia
230,Columbia University Vagelos College of Physicians and Surgeons,,United States of America,NY
231,CUNY School of Medicine,,United States of America,NY
232,Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,,United States of America,NY
233,Icahn School of Medicine at Mount Sinai,,United States of America,NY
234,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,,United States of America,NY
235,New York University Grossman School of Medicine,,United States of America,NY
236,New York University Long Island School of Medicine,,United States of America,NY
237,Renaissance School of Medicine at Stony Brook University,,United States of America,NY
238,State University of New York Downstate Medical Center College of Medicine,,United States of America,NY
239,State University of New York Upstate Medical University,,United States of America,NY
240,University of Rochester School of Medicine and Dentistry,,United States of America,NY
241,Weill Cornell Medicine,,United States of America,NY
242,"Acharya Harihar Postgraduate Institute of Cancer, Cuttack",,India,Odisha
243,"All India Institute of Medical Sciences, Bhubaneswar",,India,Odisha
244,"Bhima Bhoi Medical College and Hospital, Balangir",,India,Odisha
245,"Fakir Mohan Medical College and Hospital, Balasore",,India,Odisha
246,"Government Medical College and Hospital, Sundargarh",,India,Odisha
247,"Hi-Tech Medical College & Hospital, Bhubaneswar",,India,Odisha
248,"Hi-Tech Medical College, Rourkela",,India,Odisha
249,"Institute of Medical Sciences and Sum Hospital, Bhubaneswar",,India,Odisha
250,"Ispat Post Graduate Institute & Super Speciality Hospital, Rourkela",,India,Odisha
251,"Kalinga Institute of Medical Sciences, Bhubaneswar",,India,Odisha
252,"Mahanadi Institute of Medical Science and Research, Talcher",,India,Odisha
253,"Maharaja Krushna Chandra Gajapati Medical College and Hospital, Brahmapur",,India,Odisha
254,"Pandit Raghunath Murmu Medical College and Hospital, Baripada",,India,Odisha
255,"Saheed Laxman Nayak Medical College and Hospital, Koraput",,India,Odisha
256,"Sri Jagannath Medical College and Hospital, Puri",,India,Odisha
257,"Srirama Chandra Bhanja Medical College and Hospital, Cuttack",,India,Odisha
258,"Veer Surendra Sai Institute of Medical Sciences and Research, Burla, Sambalpur",,India,Odisha
259,Case Western Reserve University School of Medicine,,United States of America,OH
260,Cleveland Clinic Lerner College of Medicine,,United States of America,OH
261,Northeast Ohio Medical University,,United States of America,OH
262,Ohio State University College of Medicine,,United States of America,OH
263,The University of Toledo College of Medicine and Life Sciences,,United States of America,OH
264,University of Cincinnati College of Medicine,,United States of America,OH
265,Wright State University Boonshoft School of Medicine,,United States of America,OH
266,OU-TU School of Community Medicine,,United States of America,Ok
267,University of Oklahoma College of Medicine,,United States of America,Ok
268,McMaster University Michael G. DeGroote School of Medicine,,Canada,Ontario
269,Northern Ontario School of Medicine,,Canada,Ontario
270,Queen's University School of Medicine,,Canada,Ontario
271,Western University Schulich School of Medicine and Dentistry,,Canada,Ontario
272,University of Ottawa Faculty of Medicine,,Canada,Ontario
273,University of Toronto Faculty of Medicine,,Canada,Ontario
274,Oregon Health & Science University School of Medicine,,United States of America,OR
275,Drexel University College of Medicine,,United States of America,PA
276,Geisinger Commonwealth School of Medicine,,United States of America,PA
277,Lewis Katz School of Medicine at Temple University,,United States of America,PA
278,Pennsylvania State University College of Medicine,,United States of America,PA
279,SIMED,SIMED,Puerto Rico,
280,Perelman School of Medicine at the University of Pennsylvania,,United States of America,PA
281,Sidney Kimmel Medical College at Thomas Jefferson University,,United States of America,PA
282,University of Pittsburgh School of Medicine,,United States of America,PA
283,Jawaharlal Institute of Postgraduate Medical Education and Research,,India,Puducherry
284,"Mahatma Gandhi Medical College & Research Institute, Kirumampakkam, Pondicherry",,India,Puducherry
285,Pondicherry Institute of Medical Sciences,,India,Puducherry
286,Ponce School of Medicine,,United States of America,Puerto Rico
287,San Juan Bautista School of Medicine,,United States of America,Puerto Rico
288,Universidad Central del Caribe School of Medicine,,United States of America,Puerto Rico
289,University of Puerto Rico School of Medicine,,United States of America,Puerto Rico
290,"Adesh Institute of Medical Sciences & Research, Bathinda",,India,Punjab
291,"All India Institute of Medical Sciences, Bathinda",,India,Punjab
292,"Christian Medical College, Ludhiana",,India,Punjab
293,Dayanand Medical College,,India,Punjab
294,"Government Medical College, Amritsar",,India,Punjab
295,"Government Medical College, Patiala",,India,Punjab
296,"Guru Gobind Singh Medical College, Faridkot",,India,Punjab
297,"Punjab Institute of Medical Sciences, Jalandhar",,India,Punjab
298,Université Laval Faculté de Médecine,,Canada,Québec
299,McGill University Faculty of Medicine,McGill,Canada,Québec
300,Université de Montréal Faculté de Médecine,,Canada,Québec
301,Université de Sherbrooke Faculté de Médecine et des Sciences de la Santé,,Canada,Québec
302,Bond University Faculty of Health Sciences and Medicine,,Australia,Queensland
303,Griffith University School of Medicine,,Australia,Queensland
304,James Cook University School of Medicine and Dentistry,,Australia,Queensland
305,University of Queensland School of Medicine,,Australia,Queensland
306,"All India Institute of Medical Sciences, Jodhpur",,India,Rajasthan
307,"Dr. S.N. Medical College, Jodhpur",,India,Rajasthan
308,"Geetanjali Medical College, Udaipur",,India,Rajasthan
309,"Government Medical College, Kota",,India,Rajasthan
310,"Jawaharlal Nehru Medical College, Ajmer",,India,Rajasthan
311,"Jhalawar Medical College, Jhalawar",,India,Rajasthan
312,"Pacific Medical College and Hospital, Udaipur",,India,Rajasthan
313,Rabindranath Tagore Medical College,,India,Rajasthan
314,"Sardar Patel Medical College, Bikaner",,India,Rajasthan
315,"SMS Medical College, Jaipur",,India,Rajasthan
316,The Warren Alpert Medical School of Brown University,,United States of America,RI
317,University of Saskatchewan College of Medicine,,Canada,Saskatchewan
318,Medical University of South Carolina College of Medicine,,United States of America,SC
319,University of South Carolina School of Medicine Columbia,,United States of America,SC
320,University of South Carolina School of Medicine Greenville,,United States of America,SC
321,"University of South Dakota, Sanford School of Medicine",,United States of America,SD
322,"Sikkim Manipal Institute of Medical Sciences, Gangtok",,India,Sikkim
323,University of Adelaide Medical School,,Australia,South Australia
324,Flinders University School of Medicine,,Australia,South Australia
325,"Chengalpattu Medical College, Chengalpattu",,India,Tamil Nadu
326,"Christian Medical College, Vellore",,India,Tamil Nadu
327,"Coimbatore Medical College, Coimbatore",,India,Tamil Nadu
328,"Government Dharmapuri Medical College, Dharmapuri",,India,Tamil Nadu
329,"Government Sivagangai Medical College and Hospital, Sivagangai",,India,Tamil Nadu
330,"Government Tiruvannamalai Medical College and Hospital, Tiruvannamalai",,India,Tamil Nadu
331,"Government Vellore Medical College, Vellore",,India,Tamil Nadu
332,"Government Villupuram Medical College, Villupuram",,India,Tamil Nadu
333,"IRT Perundurai Medical College. Perundurai, Erode",,India,Tamil Nadu
334,"K.A.P. Viswanatham Government Medical College, Trichy, Tamil Nadu",,India,Tamil Nadu
335,"Kanyakumari Government Medical College, Kanyakumari",,India,Tamil Nadu
336,"Kilpauk Medical College, Chetput",,India,Tamil Nadu
337,"Madras Medical College, Chennai",,India,Tamil Nadu
338,"Madurai Medical College, Madurai",,India,Tamil Nadu
339,"Mohan Kumaramangalam Medical College, Salem, Tamil Nadu",,India,Tamil Nadu
340,"Rajah Muthiah Medical College, Chidambaram",,India,Tamil Nadu
341,"Sri Ramachandra Medical College and Research Institute, Chennai",,India,Tamil Nadu
342,"Stanley Medical College, Royapuram, Chennai",,India,Tamil Nadu
343,"Thanjavur Medical College, Thanjavur",,India,Tamil Nadu
344,"Thoothukudi Medical College, Thoothukudi",,India,Tamil Nadu
345,"Tirunelveli Medical College, Tirunelveli",,India,Tamil Nadu
346,University of Tasmania School of Medicine,,Australia,Tasmania
347,Apollo institute of Medical Sciences and Research,,India,Telangana
348,Ayaan Institute of Medical Sciences,,India,Telangana
349,Bhaskar Medical College,,India,Telangana
350,"Chalmeda Anand Rao Institute of Medical Sciences, Karimnagar",,India,Telangana
351,Deccan College of Medical Sciences,,India,Telangana
352,Dr. Patnam Mahender Reddy Institute of Medical Sciences,,India,Telangana
353,Dr. VRK Womens Medical College,,India,Telangana
354,"Employees State Insurance Corporation Medical College, Sanathnagar",,India,Telangana
355,Gandhi Medical College,,India,Telangana
356,"Government Medical College, Mahbubnagar",,India,Telangana
357,"Government Medical College, Nalgonda",,India,Telangana
358,"Government Medical College, Nizamabad",,India,Telangana
359,"Government Medical College, Siddipet",,India,Telangana
360,"Government Medical College, Suryapet",,India,Telangana
361,"Kakatiya Medical College, Warangal",,India,Telangana
362,"Kamineni Academy of Medical Sciences, Hyderabad",,India,Telangana
363,"Kamineni Institute of Medical Sciences, Narketpally",,India,Telangana
364,"M.N.R Medical College, Sangareddy",,India,Telangana
365,"Mahavir Institute of Medical Sciences, Vikarabad",,India,Telangana
366,"Maheshwara Medical College, Medak",,India,Telangana
367,"Malla Reddy Institute of Medical Sciences, Hyderabad",,India,Telangana
368,Mallareddy Medical College for Women,,India,Telangana
369,Mamata Academy of Medical Sciences,,India,Telangana
370,"Mamata Medical College, Khammam",,India,Telangana
371,"Mediciti Institute Of Medical Sciences, Ghanpur",,India,Telangana
372,Nizam's Institute of Medical Sciences,,India,Telangana
373,Osmania Medical College,,India,Telangana
374,"Prathima Institute of Medical Sciences, Karimnagar",,India,Telangana
375,R.V.M Institute of Medical Sciences,,India,Telangana
376,"Rajiv Gandhi Institute of Medical Sciences, Adilabad",,India,Telangana
377,"S.V.S Medical College, Mahbubnagar",,India,Telangana
378,Shadan Institute of Medical Sciences,,India,Telangana
379,Surabhi Institute of Medical Sciences,,India,Telangana
380,East Tennessee State University James H. Quillen College of Medicine,,United States of America,TN
381,Meharry Medical College,,United States of America,TN
382,University of Tennessee Health Science Center College of Medicine,,United States of America,TN
383,Vanderbilt University School of Medicine,,United States of America,TN
384,Agartala Government Medical College,,India,Tripura
385,Tripura Medical College & Dr. B.R. Ambedkar Memorial Teaching Hospital,,India,Tripura
386,Baylor College of Medicine,,United States of America,TX
387,McGovern Medical School at the University of Texas Health Science Center at Houston,,United States of America,TX
388,TCU School of Medicine,,United States of America,TX
389,Texas A&M Health Science Center College of Medicine,,United States of America,TX
390,Texas Tech University Health Sciences Center Paul L. Foster School of Medicine,,United States of America,TX
391,Texas Tech University Health Sciences Center School of Medicine,,United States of America,TX
392,The University of Texas Health Science Center at San Antonio Joe R. and Teresa Lozano Long School of Medicine,,United States of America,TX
393,University of Houston College of Medicine,,United States of America,TX
394,University of Texas at Austin Dell Medical School,,United States of America,TX
395,University of Texas Medical Branch School of Medicine,,United States of America,TX
396,University of Texas Rio Grande Valley School of Medicine,,United States of America,TX
397,University of Texas Southwestern Medical School,,United States of America,TX
398,University of Utah School of Medicine,,United States of America,UT
399,"All India Institute of Medical Sciences, Gorakhpur",,India,Uttar Pradesh
400,"All India Institute of Medical Sciences, Raebareli",,India,Uttar Pradesh
401,"Baba Raghav Das Medical College, Gorakhpur",,India,Uttar Pradesh
402,"Ganesh Shankar Vidyarthi Memorial Medical College, Kanpur",,India,Uttar Pradesh
403,"Government Medical College, Azamgarh",,India,Uttar Pradesh
404,"Government Medical College, Jalaun",,India,Uttar Pradesh
405,"Government Medical College, Kannauj",,India,Uttar Pradesh
406,"Institute of Medical Sciences, Banaras Hindu University, Varanasi",,India,Uttar Pradesh
407,"Jawaharlal Nehru Medical College, Aligarh Muslim University, Aligarh",,India,Uttar Pradesh
408,"Kansiram medical college, Saharanpur",,India,Uttar Pradesh
409,"King Dashrath Medical College, Ayodhya",,India,Uttar Pradesh
410,"King George's Medical University (KGMU), Lucknow, formerly known as Chhatrapati Shahuji Maharaj Medical University, Lucknow",,India,Uttar Pradesh
411,"Lala Lajpat Rai Memorial Medical College, Meerut",,India,Uttar Pradesh
412,Maharani Laxmi Bai Medical College Jhansi,,India,Uttar Pradesh
413,"Maharshi Vashishtha Autonomous State Medical College, Basti",,India,Uttar Pradesh
414,"Motilal Nehru Medical College, Allahabad",,India,Uttar Pradesh
415,"Muzaffarnagar Medical College, Muzaffarnagar",,India,Uttar Pradesh
416,"Netaji Subhash Chandra Bose Subharti Medical college, Meerut, Uttar Pradesh",,India,Uttar Pradesh
417,"Rajkiya Alopathic Medical College, Akbarpur, Ambedkar Nagar",,India,Uttar Pradesh
418,Sanjay Gandhi Post Graduate Institute of Medical Sciences,,India,Uttar Pradesh
419,"Santosh Medical college, Ghaziabad",,India,Uttar Pradesh
420,"Saraswati Medical College, Hapur, Uttar Pradesh",,India,Uttar Pradesh
421,"Sarojini Naidu Medical College, Agra",,India,Uttar Pradesh
422,"School of Medical Sciences & Research (SMSR), Sharda University, Greater Noida",,India,Uttar Pradesh
423,"Shri Ram Murti Smarak Institute of Medical Sciences, Bareilly",,India,Uttar Pradesh
424,"Subharti Medical College, Swami Vivekananda Subharti University Meerut, Uttar Pradesh",,India,Uttar Pradesh
425,"Uttar Pradesh University of Medical Sciences, Saifai, Etawah",,India,Uttar Pradesh
426,AIIMS Rishikesh,,India,Uttrakhand
427,"Government Medical College, Haldwani, formerly known as Uttarakhand Forest Hospital Trust Medical College",,India,Uttrakhand
428,"Government Medical College, Srinagar, Pauri Garhwal, Srinagar",,India,Uttrakhand
429,"Shri Guru Ram Rai Institute of Medical & Health Sciences, Patel Nagar, Dehradun",,India,Uttrakhand
430,"Swami Rama Himalayan University, Doiwala (adjacent to Jolly Grant/Dehradun Airport), Dehradun",,India,Uttrakhand
431,Eastern Virginia Medical School,,United States of America,VA
432,University of Virginia School of Medicine,,United States of America,VA
433,Virginia Commonwealth University School of Medicine,,United States of America,VA
434,Virginia Tech Carilion School of Medicine,,United States of America,VA
435,Melbourne Medical School,,Australia,Victoria
436,"Monash University Faculty of Medicine, Nursing and Health Sciences",,Australia,Victoria
437,Deakin University School of Medicine,,Australia,Victoria
438,"Robert Larner, M.D., College of Medicine at the University of Vermont",,United States of America,VT
439,University of Washington School of Medicine,,United States of America,WA
